seed,tag,bits,p,mem_frac,id_acc,ood_acc
0,feataxis_k2_n5,8,0.1,0.4172,0.9991666674613953,0.620000014702479
0,feataxis_k2_n5,8,0.2,0.4172,0.9991666674613953,0.5933333436648051
0,feataxis_k2_n5,8,0.3,0.4172,0.9941666722297668,0.6213889122009277
0,feataxis_k2_n5,8,0.5,0.4172,0.1274999976158142,0.12972222765286764
0,loghd_k3_n4,2,0.0,0.3337,0.6816666722297668,0.4516666829586029
0,loghd_k3_n4,2,0.05,0.3337,0.0833333358168602,0.0833333358168602
0,loghd_k3_n4,2,0.1,0.3337,0.0833333358168602,0.0833333358168602
0,loghd_k3_n4,2,0.2,0.3337,0.0833333358168602,0.0833333358168602
0,loghd_k3_n4,2,0.3,0.3337,0.1066666692495346,0.09805555641651154
0,loghd_k3_n4,2,0.5,0.3337,0.0833333358168602,0.0833333358168602
0,loghd_k3_n4,4,0.0,0.3337,0.6816666722297668,0.4516666829586029
0,loghd_k3_n4,4,0.05,0.3337,0.3700000047683716,0.2455555647611618
0,loghd_k3_n4,4,0.1,0.3337,0.2616666853427887,0.20472223063309988
0,loghd_k3_n4,4,0.2,0.3337,0.08583333343267441,0.0833333358168602
0,loghd_k3_n4,4,0.3,0.3337,0.09416666626930237,0.08305555582046509
0,loghd_k3_n4,4,0.5,0.3337,0.0925000011920929,0.08972222606341045
0,loghd_k3_n4,8,0.0,0.3337,0.6816666722297668,0.4516666829586029
0,loghd_k3_n4,8,0.05,0.3337,0.512499988079071,0.3297222356001536
0,loghd_k3_n4,8,0.1,0.3337,0.2566666603088379,0.20333333810170492
0,loghd_k3_n4,8,0.2,0.3337,0.08416666835546494,0.0833333358168602
0,loghd_k3_n4,8,0.3,0.3337,0.0833333358168602,0.0833333358168602
0,loghd_k3_n4,8,0.5,0.3337,0.0833333358168602,0.0833333358168602
0,feataxis_k3_n4,2,0.0,0.3337,0.9991666674613953,0.609722246726354
0,feataxis_k3_n4,2,0.05,0.3337,0.996666669845581,0.6366666754086813
0,feataxis_k3_n4,2,0.1,0.3337,0.9958333373069763,0.6316666901111603
0,feataxis_k3_n4,2,0.2,0.3337,0.9908333420753479,0.622222234805425
0,feataxis_k3_n4,2,0.3,0.3337,0.9708333611488342,0.5952777961889902
0,feataxis_k3_n4,2,0.5,0.3337,0.05416666716337204,0.0486111119389534
0,feataxis_k3_n4,4,0.0,0.3337,0.9991666674613953,0.609722246726354
0,feataxis_k3_n4,4,0.05,0.3337,0.9991666674613953,0.6122222443421682
0,feataxis_k3_n4,4,0.1,0.3337,0.9991666674613953,0.6225000123182932
0,feataxis_k3_n4,4,0.2,0.3337,0.9975000023841858,0.6038888990879059
0,feataxis_k3_n4,4,0.3,0.3337,0.9833333492279053,0.5941666662693024
0,feataxis_k3_n4,4,0.5,0.3337,0.12333333492279053,0.09999999900658925
0,feataxis_k3_n4,8,0.0,0.3337,0.9991666674613953,0.609722246726354
0,feataxis_k3_n4,8,0.05,0.3337,0.9991666674613953,0.6027777791023254
0,feataxis_k3_n4,8,0.1,0.3337,0.9991666674613953,0.6002777914206187
0,feataxis_k3_n4,8,0.2,0.3337,0.9983333349227905,0.5952777961889902
0,feataxis_k3_n4,8,0.3,0.3337,0.9941666722297668,0.6297222375869751
0,feataxis_k3_n4,8,0.5,0.3337,0.10916666686534882,0.10861111183961232
0,hybrid_k2_n5,2,0.0,0.2088,0.7191666960716248,0.25333333512147266
0,hybrid_k2_n5,2,0.05,0.2088,0.10333333909511566,0.1011111115415891
0,hybrid_k2_n5,2,0.1,0.2088,0.0833333358168602,0.09277777870496114
0,hybrid_k2_n5,2,0.2,0.2088,0.14500001072883606,0.12111111481984456
0,hybrid_k2_n5,2,0.3,0.2088,0.0833333358168602,0.0833333358168602
